Original_Tweet,Cleaned_Tweet,Polarity,Sentiment,Confidence,Predicted
"b""RT @FoxNews: FOX NEWS FIRST: Beto O'Rourke shifts on AR-15s, Musk's recession take and more top headlines\nhttps://t.co/vtZfYllihV""",rt fox news first beto rourke shift ar musk recession take top headline,0.4166666666666667,positive,[41.62],Negative
b'RT @wallstreetboiz: Recession? Bear Market? Not on our watch. \n\n5555 Wall Street Boys are here to bring back your profits.\n\nFirst 555 to Li\xe2\x80\xa6',rt recession bear market watch wall street boys bring back profit first li,0.125,weakly positive,[79.01],Positive
b'The Fed must boost rates by a full percentage point at every meeting to bring down inflation and avoid a job-killin\xe2\x80\xa6 https://t.co/B53yQvQcBn',feed must boost rat full percentage point every meet bring inflation avoid job killin yqvqcbn,0.0972222222222222,weakly positive,[33.55],Negative
b'@BethRigby @kitty_donaldson You only have to listen to the language that this man-child uses to realise that he doe\xe2\x80\xa6 https://t.co/yxEn6wVxTP',listen language man child use realise doe wvxtp,0.0,neutral,[62.87],Positive
"b'DSP the only dude to know his audience are literally 13-24 and expect them to pay him $300 a day in tips, plus supe\xe2\x80\xa6 https://t.co/EAjZtgndGT'",dsp dude know audience literally expect pay day tip plus supe,0.0,neutral,[61.53],Positive
"b'Global equity funds saw their biggest inflows in 10 weeks, led by US stocks, as cheaper valuations lured buyers aft\xe2\x80\xa6 https://t.co/2B95BdHW6F'",global equity fund saw biggest inflows weeks lead us stock cheaper valuations lure buyers aft b bdhw f,0.0,neutral,[44.67],Negative
"b'RT @Fxhedgers: CITIGROUP DOWNGRADES US STOCKS TO NEUTRAL, CITING RISING RECESSION RISK'",rt citigroup downgrade us stock neutral cite rise recession risk,0.0,neutral,[63.75],Positive
"b""RT @FraserNelson: In yesterday's Cabinet, the windfall tax was spoken of as a triumph - not with any regret. Only Mogg sounded a note of ca\xe2\x80\xa6""",rt yesterday cabinet windfall tax speak triumph regret mogg sound note ca,0.0,neutral,[49.92],Negative
b'Elon Musk said a recession would be \xe2\x80\x98good\xe2\x80\x99 for the economy because it\xe2\x80\x99ll hurt work-from-home fans and \xe2\x80\x98foolish\xe2\x80\x99 bus\xe2\x80\xa6 https://t.co/rsvzgKcjwq',elon musk say recession would good economy hurt work home fan foolish bus,0.7,strongly positive,[29.5],Negative
b'Recession is on the cards.  #WallStreet #recession #Fed #inflation #boe #imf https://t.co/A2TNXpbTzM',recession card wallstreet recession feed inflation boe imf tnxpbtzm,0.0,neutral,[33.81],Negative
